pair,timeframe,direction,quality,confidence,consensus,entry_score,risk_reward,regime,kalman_direction,kalman_trend_state,trend_vs_kalman_conflict,confidence_minus_quality,approved,reject_reason,institutional_score,structural_score,market_score,momentum_score,liquidity_score,risk_score,confidence_score_scanner,flow_score,timing_index,conviction_score,entry_score_scanner
BTSUSDT,1h,short,0.7053,0.8606,0.75,0.769,0.0,trending_down,DOWN,continuing,False,0.1553,False,Sem BOS ou CHoCH confirmado,0.7398,0.5135,0.8838,0.6265,0.958,0.5912,0.8606,0.96,0.64,0.8493,0.769
BTSUSDT,1d,short,0.6133,0.7878,0.75,0.0,0.0,trending_down,UP,continuing,True,0.1745,False,RVOL 0.62 < 0.7,0.6862,0.5945,0.8838,0.4846,0.958,0.5982,0.7878,0.5,0.538,0.7258,0.0
BTSUSDT,4h,short,0.5197,0.7246,0.75,0.0,0.0,trending_down,DOWN,continuing,False,0.2049,False,RVOL 0.63 < 0.7,0.5728,0.1919,0.8838,0.6652,0.958,0.5632,0.7246,0.2,0.52,0.6485,0.0
BTYUSDT,1d,short,0.557,0.822,0.78,0.0,0.0,reversal,DOWN,continuing,False,0.265,False,RVOL 0.42 < 0.7,0.5944,0.5132,0.4356,0.6245,0.958,0.3118,0.822,0.5,0.477,0.8249,0.0
BULLAUSDT,1h,short,0.6707,0.745,0.72,0.0505,0.0,ranging,DOWN,reversing,False,0.0743,False,Entry Zone FAIL (score 0.05 < 0.4),0.6621,0.5137,0.4322,0.7043,0.916,0.513,0.745,1.0,0.814,0.864,0.0505
BULLAUSDT,4h,short,0.6357,0.7453,0.72,0.2106,0.0,ranging,DOWN,continuing,False,0.1096,False,Entry Zone FAIL (score 0.21 < 0.4),0.6373,0.5137,0.4322,0.7388,0.916,0.513,0.7453,0.7,0.76,0.9567,0.2106
BULLAUSDT,1d,short,0.6159,0.7444,0.72,0.2161,0.0,ranging,DOWN,reversing,False,0.1285,False,RVOL 0.58 < 0.7,0.6249,0.5135,0.4322,0.6568,0.916,0.513,0.7444,0.7,0.76,0.8149,0.2161
BULLAUSDT,30m,long,0.5637,0.7519,0.72,0.7129,0.0,ranging,UP,starting,False,0.1882,False,RVOL 0.69 < 0.7,0.586,0.5068,0.4322,0.4979,0.916,0.5123,0.7519,0.56,0.6,0.806,0.7129
BULLUSDT,4h,short,0.6473,0.7441,0.73,0.0,0.0,ranging,DOWN,continuing,False,0.0968,False,RVOL 0.50 < 0.7,0.6932,0.9974,0.3663,0.641,0.916,0.2091,0.7441,0.6,0.75,0.909,0.0
BULLUSDT,1h,short,0.521,0.6679,0.73,0.7707,0.0,ranging,UP,continuing,False,0.1469,False,Quality 0.52 < 0.6,0.5536,0.594,0.3663,0.5235,0.916,0.174,0.6679,0.5,0.52,0.7493,0.7707
BULLUSDT,30m,short,0.4987,0.6673,0.73,0.8481,0.0,ranging,UP,reversing,False,0.1686,False,Quality 0.50 < 0.6,0.5502,0.5939,0.3663,0.5014,0.916,0.174,0.6673,0.5,0.47,0.5627,0.8481
BXNUSDT,1h,short,0.7109,0.861,0.81,0.0,0.0,trending_down,DOWN,continuing,False,0.1501,False,RVOL 0.42 < 0.7,0.7032,0.5142,0.8558,0.4444,0.874,0.6239,0.861,1.0,0.8,1.0,0.0
BXNUSDT,30m,short,0.7081,0.8609,0.81,0.0,0.0,trending_down,DOWN,continuing,False,0.1528,False,RVOL 0.28 < 0.7,0.699,0.5142,0.8558,0.4169,0.874,0.6239,0.8609,1.0,0.8,1.0,0.0
BZRUSDT,4h,long,0.5747,0.748,0.71,0.7256,0.0,ranging,UP,continuing,False,0.1733,False,RVOL 0.44 < 0.7,0.6092,0.5142,0.3863,0.448,0.916,0.8726,0.748,0.56,0.594,0.773,0.7256
BZRUSDT,1h,long,0.5454,0.6719,0.71,0.3396,0.0,ranging,SIDE,reversing,False,0.1265,False,Sem BOS ou CHoCH confirmado,0.6175,0.5947,0.3863,0.5224,0.916,0.8796,0.6719,0.4,0.62,0.4955,0.3396
BZRUSDT,30m,short,0.5202,0.674,0.71,0.1115,0.0,ranging,UP,continuing,False,0.1538,False,Sem BOS ou CHoCH confirmado,0.5308,0.1918,0.3863,0.5043,0.916,0.8446,0.674,0.6,0.58,0.6336,0.1115
C98USDT,4h,short,0.617,0.7883,0.79,0.125,0.0,trending_up,UP,continuing,False,0.1713,False,RVOL 0.49 < 0.7,0.6614,0.594,0.8753,0.457,0.916,0.3684,0.7883,0.6,0.619,0.7887,0.125
C98USDT,1d,short,0.5864,0.8656,0.79,0.2181,0.0,trending_up,UP,continuing,False,0.2792,False,RVOL 0.62 < 0.7,0.6486,0.5139,0.8753,0.4847,0.916,0.3614,0.8656,0.56,0.489,0.6528,0.2181
C98USDT,30m,long,0.5676,0.7982,0.79,0.758,0.0,trending_up,UP,reversing,False,0.2306,False,RVOL 0.53 < 0.7,0.6499,0.5137,0.8753,0.6453,0.916,0.3614,0.7982,0.4,0.54,0.4985,0.758
C98USDT,1h,short,0.4786,0.7223,0.79,0.8324,0.0,trending_up,UP,continuing,False,0.2437,False,Sem BOS ou CHoCH confirmado,0.5211,0.191,0.8753,0.5274,0.916,0.3333,0.7223,0.2,0.507,0.5831,0.8324
CAPUSDT,30m,short,0.6216,0.8648,0.86,0.7308,0.0,trending_down,DOWN,continuing,False,0.2432,False,RVOL 0.26 < 0.7,0.7269,0.9976,0.852,0.4122,0.916,0.3396,0.8648,0.3,0.598,0.7049,0.7308
CAPUSDT,1h,short,0.565,0.8647,0.86,0.4316,0.0,trending_down,DOWN,continuing,False,0.2997,False,RVOL 0.51 < 0.7,0.6272,0.5137,0.852,0.5823,0.916,0.2975,0.8647,0.3,0.548,0.7087,0.4316
CARDSUSDT,4h,short,0.5897,0.8448,0.74,0.0,0.0,volatile,DOWN,continuing,False,0.2551,False,RVOL 0.37 < 0.7,0.5842,0.5134,0.4089,0.5548,0.916,0.194,0.8448,0.7,0.675,0.894,0.0
CARDSUSDT,1h,short,0.5625,0.8447,0.74,0.0,0.0,volatile,UP,reversing,False,0.2822,False,RVOL 0.53 < 0.7,0.5788,0.5134,0.4089,0.5853,0.916,0.194,0.8447,0.6,0.66,0.703,0.0
CARDSUSDT,30m,long,0.3946,0.702,0.74,0.8736,0.0,volatile,UP,continuing,False,0.3074,False,RVOL 0.61 < 0.7,0.4256,0.1906,0.4089,0.4827,0.916,0.166,0.702,0.2,0.404,0.4782,0.8736
CARFIUSDT,1d,short,0.59,0.7757,0.74,0.0,0.0,trending_down,UP,continuing,True,0.1857,False,RVOL 0.07 < 0.7,0.6424,0.5942,0.8552,0.1347,0.874,0.7665,0.7757,0.6,0.56,0.709,0.0
CARFIUSDT,4h,short,0.4651,0.7133,0.74,0.0,0.0,trending_down,DOWN,continuing,False,0.2482,False,RVOL 0.00 < 0.7,0.5709,0.5129,0.8552,0.24,0.874,0.7595,0.7133,0.0,0.43,0.4075,0.0
CARFIUSDT,30m,short,0.4639,0.7072,0.74,0.8272,0.0,trending_down,DOWN,continuing,False,0.2433,False,RVOL 0.00 < 0.7,0.5229,0.1906,0.8552,0.48,0.874,0.7314,0.7072,0.0,0.51,0.5687,0.8272
CARFIUSDT,1h,short,0.4357,0.6383,0.74,0.7623,0.0,trending_down,DOWN,continuing,False,0.2026,False,RVOL 0.00 < 0.7,0.4979,0.1903,0.8552,0.36,0.874,0.7314,0.6383,0.0,0.48,0.4896,0.7623
CATUSDT,1h,short,0.5926,0.672,0.71,0.2886,0.0,ranging,DOWN,continuing,False,0.0794,False,Entry Zone FAIL (score 0.29 < 0.4),0.6286,0.5947,0.4323,0.6828,0.916,0.5805,0.672,0.5,0.66,0.8448,0.2886
CATUSDT,30m,long,0.5511,0.7554,0.71,0.8577,0.0,ranging,UP,ranging,False,0.2043,False,RVOL 0.53 < 0.7,0.6007,0.5153,0.4323,0.645,0.916,0.5735,0.7554,0.4,0.63,0.6239,0.8577
CATUSDT,1d,short,0.5376,0.7438,0.71,0.0,0.0,ranging,DOWN,reversing,False,0.2062,False,RVOL 0.58 < 0.7,0.5969,0.5135,0.4323,0.6568,0.916,0.5735,0.7438,0.36,0.56,0.6112,0.0
CATUSDT,4h,short,0.5204,0.7485,0.71,0.3171,0.0,ranging,DOWN,continuing,False,0.2281,False,RVOL 0.50 < 0.7,0.5621,0.5144,0.4323,0.4604,0.916,0.5735,0.7485,0.3,0.6,0.6925,0.3171
CCDUSDT,1d,short,0.6585,0.8648,0.72,0.0,0.0,trending_up,DOWN,continuing,True,0.2063,False,RVOL 0.41 < 0.7,0.6986,0.5137,0.9192,0.442,0.916,0.7216,0.8648,0.7,0.596,0.8912,0.0
CEEKUSDT,1h,short,0.7225,0.873,0.77,0.7404,0.0,trending_down,DOWN,continuing,False,0.1505,False,Descalibracao Confianca-Qualidade: 0.15 (limite 0.1),0.7133,0.515,0.8661,0.6829,0.958,0.2121,0.873,1.0,0.83,1.0,0.7404
CEEKUSDT,30m,short,0.6423,0.87,0.77,0.4182,0.0,trending_down,UP,continuing,True,0.2277,False,Entry Zone FAIL (score 0.42 < 0.4),0.6691,0.5145,0.8661,0.6579,0.958,0.2121,0.87,0.6,0.705,0.8649,0.4182
CEEKUSDT,1d,short,0.5564,0.7214,0.77,0.0,0.0,trending_down,DOWN,reversing,False,0.165,False,RVOL 0.55 < 0.7,0.6336,0.594,0.8661,0.6497,0.958,0.2191,0.7214,0.2,0.66,0.5672,0.0
CEEKUSDT,4h,short,0.5466,0.7914,0.77,0.257,0.0,trending_down,DOWN,continuing,False,0.2448,False,RVOL 0.55 < 0.7,0.5564,0.1913,0.8661,0.6493,0.958,0.184,0.7914,0.4,0.659,0.7461,0.257
CELLUSDT,1h,short,0.6467,0.7427,0.7,0.7689,0.0,ranging,DOWN,reversing,False,0.096,False,Confidence 0.74 < 0.75,0.6711,0.5134,0.4358,0.7067,0.958,0.7342,0.7427,0.8,0.716,0.786,0.7689
CELLUSDT,30m,short,0.6272,0.6684,0.7,0.7579,0.0,ranging,UP,continuing,False,0.0412,False,Sem BOS ou CHoCH confirmado,0.5902,0.1908,0.4358,0.64,0.958,0.7061,0.6684,1.0,0.798,0.8534,0.7579
